Date,Route,Total trips
1/1/2023,42,358
1/1/2023,124,473
1/1/2023,30,386
1/1/2023,121,1255
1/1/2023,58,262
1/1/2023,153,427
1/1/2023,193,784
1/1/2023,27,140
1/1/2023,84,255
1/1/2023,813,144
1/1/2023,120,549
1/1/2023,37,250
1/1/2023,89,1045
1/1/2023,78,1044
1/1/2023,50,454
1/1/2023,68,381
1/1/2023,162,191
1/1/2023,51,1878
1/1/2023,87,428
1/1/2023,194,321
1/1/2023,191,875
1/1/2023,49,433
1/1/2023,107,576
1/1/2023,150,40
1/1/2023,832,143
1/1/2023,816,109
1/1/2023,140,162
1/1/2023,6,243
1/1/2023,83,1344
1/1/2023,75,324
1/1/2023,39,3334
1/1/2023,185,388
1/1/2023,25,264
1/1/2023,79,336
1/1/2023,186,611
1/1/2023,74,323
1/1/2023,115,1519
1/1/2023,82,490
1/1/2023,60,968
1/1/2023,5,1103
1/1/2023,132,163
1/1/2023,116,993
1/1/2023,8,144
1/1/2023,14,143
1/1/2023,40,219
1/1/2023,856,0
1/1/2023,103,311
1/1/2023,853,202
1/1/2023,165,1043
1/1/2023,93,309
1/1/2023,181,691
1/1/2023,81,588
1/1/2023,198,39
1/1/2023,180,301
1/1/2023,125,848
1/1/2023,9,224
1/1/2023,850,133
1/1/2023,133,197
1/1/2023,1,37
1/1/2023,117,579
1/1/2023,172,553
1/1/2023,104,244
1/1/2023,24,144
1/1/2023,12,694
1/1/2023,19,290
1/1/2023,110,1099
1/1/2023,55,653
1/1/2023,823,0
1/1/2023,95,972
1/1/2023,102,1194
1/1/2023,867,35
1/1/2023,192,873
1/1/2023,34,191
1/1/2023,36,301
1/1/2023,15,845
1/1/2023,71,1257
1/1/2023,85,242
1/1/2023,3,127
1/1/2023,66,304
1/1/2023,809,251
1/1/2023,119,861
1/1/2023,178,304
1/1/2023,114,299
1/1/2023,197,173
1/1/2023,141,296
1/1/2023,32,544
1/1/2023,73,834
1/1/2023,189,588
1/1/2023,111,1084
1/1/2023,26,385
1/1/2023,865,96
1/1/2023,195,299
1/1/2023,183,198
1/1/2023,126,309
1/1/2023,2,717
1/1/2023,86,1524
1/1/2023,4,372
1/1/2023,47,415
1/1/2023,94,251
1/1/2023,21,1093
1/1/2023,155,429
1/2/2023,132,232
1/2/2023,40,288
1/2/2023,3,281
1/2/2023,21,2639
1/2/2023,93,748
1/2/2023,865,190
1/2/2023,813,208
1/2/2023,12,746
1/2/2023,102,1518
1/2/2023,71,1313
