OBJECTID,shape_id,OBJECTID_1,route_id,trip_id,shape_id_1,OBJECTID_12,route_id_1,route_short_name,route_long_name,route_type,route_color,Shape__Length
20,109315,,7685,6685547,,,,89,Old National Highway / Union City,3,819FF7,0.206478146659779
33,109328,,7635,6641932,,,,2,Ponce de Leon Avenue / Druid Hills,3,819FF7,0.0849075640801561
36,109331,,7681,6690516,,,,84,Washington Rd/Camp Crk Marketplace,3,819FF7,0.134303531779513
62,109357,,7726,6676814,,,,191,Riverdale / ATL Intl Terminal,3,819FF7,0.402235574987671
63,109358,,7664,6631754,,,,853,Collier Heights,3,819FF7,0.114052063700217
88,109383,,7683,6649422,,,,86,Fairington Road,3,819FF7,0.205246075195513
93,109388,,7704,6650492,,,,124,Pleasantdale Road,3,819FF7,0.143426437682046
100,109395,,7673,6632439,,,,73,Fulton Industrial,3,819FF7,0.17552577643067
107,109402,,11841,6674950,,,,850,Carroll Heights / Fairburn Heights,3,819FF7,0.104875838151412
117,109412,,7700,6638419,,,,119,Hairston Road / Stone Mtn Village,3,819FF7,0.166840660065132
133,109428,,11844,6656900,,,,832,Grant Park,3,819FF7,0.103992996307083
142,109437,,7659,6672631,,,,42,Pryor Road,3,819FF7,0.141266759778477
163,109458,,7722,6638046,,,,183,Barge Road P&R / Lakewood,3,819FF7,0.212677543494939
183,109478,,7721,6644513,,,,181,Washington Road / Fairburn,3,819FF7,0.187996611114976
251,109546,,7648,6688005,,,,24,McAfee / Hosea Williams,3,819FF7,0.237327651484366
291,109586,,7636,6641935,,,,3,Martin Luther King Jr Dr/Auburn Ave,3,819FF7,0.110797183584077
334,109629,,7666,6685444,,,,856,Baker Hills / Wilson Mill Meadows,3,819FF7,0.0944955025607428
359,109654,,7655,6693254,,,,34,2nd Ave/Gresham Rd/Clifton Spgs Rd,3,819FF7,0.115833830901144
360,109655,,7655,6660345,,,,34,2nd Ave/Gresham Rd/Clifton Spgs Rd,3,819FF7,0.137876243395825
1195,109296,,7639,6633108,,,,6,Clifton Road / Emory,3,819FF7,0.0731785849364151
1196,109297,,7665,6665683,,,,55,Jonesboro Road,3,819FF7,0.220069033329812
1197,109298,,7679,6649169,,,,82,Camp Creek / South Fulton Parkway,3,819FF7,0.0857830834945238
1198,109299,,7713,6632636,,,,153,James Jackson Parkway,3,819FF7,0.0469620982542316
1199,109300,,7721,6677758,,,,181,Washington Road / Fairburn,3,819FF7,0.254653823012921
1200,109301,,7728,6666252,,,,193,Morrow / Jonesboro,3,819FF7,0.284307388114529
1201,109302,,7731,6688985,,,,196,Upper Riverdale / Southlake,3,819FF7,0.248052841961824
1202,109303,,7732,6641433,,,,201,Six Flags Over Georgia,3,819FF7,0.11298287682942
1203,109304,,7732,6656861,,,,201,Six Flags Over Georgia,3,819FF7,0.11298287682942
1204,109305,,7732,6638295,,,,201,Six Flags Over Georgia,3,819FF7,0.100212061526511
1205,109306,,7734,6677121,,,,800,Lovejoy,3,819FF7,0.270045473339323
1206,109307,,7693,6677126,,,,809,Monroe Drive / Boulevard,3,819FF7,0.127789440645911
1207,109308,,11844,6638334,,,,832,Grant Park,3,819FF7,0.0902589639079567
1208,109309,,7709,6632634,,,,141,Haynes Bridge Road / Milton,3,819FF7,0.238673566289604
1209,109310,,7712,6689916,,,,150,Perimeter Center / Dunwoody Village,3,819FF7,0.101286856814204
1210,109311,,7641,6632252,,,,9,Boulevard / Tilson Road,3,819FF7,0.181474785152359
1211,109312,,7655,6664607,,,,34,2nd Ave/Gresham Rd/Clifton Spgs Rd,3,819FF7,0.123175969881637
1212,109313,,7673,6643331,,,,73,Fulton Industrial,3,819FF7,0.188531172095124
1213,109314,,7679,6686806,,,,82,Camp Creek / South Fulton Parkway,3,819FF7,0.24840201675372
1214,109316,,7685,6657542,,,,89,Old National Highway / Union City,3,819FF7,0.204662012622468
1215,109317,,7690,6649449,,,,103,Peeler Road / N Shallowford Road,3,819FF7,0.119358930742136
1216,109318,,7726,6656586,,,,191,Riverdale / ATL Intl Terminal,3,819FF7,0.412521587153168
1217,109319,,7732,6638281,,,,201,Six Flags Over Georgia,3,819FF7,0.11298287682942
1218,109320,,7642,6637618,,,,12,Howell Mill Road / Cumberland,3,819FF7,0.174827866499451
1219,109321,,7661,6642297,,,,49,McDonough Boulevard,3,819FF7,0.125938658502341
1220,109322,,7684,6681217,,,,87,Roswell Road / Morgan Falls,3,819FF7,0.192537617117276
1221,109323,,7691,6682826,,,,104,Winters Chapel Road,3,819FF7,0.0705612030433997
1222,109324,,7706,6661599,,,,126,Chamblee-Tucker Road,3,819FF7,0.118617973676013
1223,109325,,7708,6661354,,,,140,North Point Parkway,3,819FF7,0.203677756957699
1224,109326,,7726,6632702,,,,191,Riverdale / ATL Intl Terminal,3,819FF7,0.390408569962989
1225,109327,,7670,6677186,,,,867,Peyton Forest / Dixie Hills,3,819FF7,0.112769339648676
1226,109329,,7637,6660003,,,,4,Moreland Avenue,3,819FF7,0.10249844839935
1227,109330,,7671,6680908,,,,68,Benjamin E Mays Drive,3,819FF7,0.188617236462779
