Record ID,Store Name,Store Type,Street Number,Street Name,Additional Address,City,State,Zip Code,Zip4,County,Latitude,Longitude,Authorization Date,End Date
1157763,Fresh New Orleans Seafood  ,Small Grocery Store,2905 C,Campbellton Rd, ,Atlanta,GA,30311, ,FULTON,33.69845,-84.48313,9/10/2014,5/5/2015
415894,CAMP LEE CONVENIENCE STORE  ,Convenience Store,1265-C,LEE ST, ,Atlanta,GA,30310, ,FULTON,33.72035,-84.42432,10/3/2002,6/21/2006
866532,ABC Food Mart  ,Convenience Store,6009,Riverdale Rd, ,Atlanta,GA,30349,6205,CLAYTON,33.59139,-84.42815,2/25/2009,7/24/2013
1105215,ABC Food Mart  ,Convenience Store,6009,Riverdale Rd, ,Atlanta,GA,30349,6205,CLAYTON,33.59139,-84.42815,8/7/2013,10/31/2016
949503,AIRPORT FOOD MART  ,Convenience Store,5181,W Fayetteville Rd,Unit A,Atlanta,GA,30349,5760,CLAYTON,33.61403,-84.44926,5/25/2010,3/9/2014
927819,BABY'S & MORE  ,Convenience Store,5455,Riverdale Rd, ,Atlanta,GA,30349,6193,CLAYTON,33.60654,-84.43565,12/23/2009,3/18/2013
973839,Best Choice Tropical Food Mart  ,Convenience Store,5445,Riverdale Rd, ,Atlanta,GA,30349,6193,CLAYTON,33.60685,-84.43575,10/21/2010,3/18/2013
1469738,Bhanu C Store Inc  ,Convenience Store,5780,Riverdale Rd, ,Atlanta,GA,30349,6364,CLAYTON,33.59747,-84.4285,9/13/2021,8/8/2022
979493,Big Daddy's Market  ,Convenience Store,1846,Godby Rd, ,Atlanta,GA,30349,5236,CLAYTON,33.61342,-84.44991,5/9/2011,3/18/2013
1512218,Bp Garden Walk  ,Convenience Store,5780,Riverdale Rd,,Atlanta,GA,30349,6364,CLAYTON,33.59747,-84.4285,8/18/2022, 
1594304,Bp To-go  ,Convenience Store,600,Lake Mirror Rd,,Atlanta,GA,30349,6052,CLAYTON,33.62828,-84.4094,5/14/2024, 
1370332,Cash & Carry  ,Convenience Store,1881,Southampton Rd,Ste C,Atlanta,GA,30349,5182,CLAYTON,33.61614,-84.45083,8/28/2019,8/3/2021
1463408,Cash & Carry  ,Convenience Store,1881,Southampton Rd,,Atlanta,GA,30349,5145,CLAYTON,33.61654,-84.45086,8/19/2021,7/31/2023
990820,Catalina Supermarket  ,Medium Grocery Store,4110,Old Dixie Hwy, ,Atlanta,GA,30354,3722,CLAYTON,33.64266,-84.39046,9/6/2011,3/1/2016
990820,Catalina Supermarket  ,Medium Grocery Store,4110,Old Dixie Hwy, ,Atlanta,GA,30354,3722,CLAYTON,33.64266,-84.39046,5/31/2016,7/21/2025
928020,Chevron Food Mart  ,Convenience Store,5631,W Fayetteville Rd,Ste 102,Atlanta,GA,30349,7543,CLAYTON,33.60285,-84.4464,12/23/2009,7/2/2017
1594184,Chevron Food Mart  ,Convenience Store,5690,Riverdale Rd,,Atlanta,GA,30349,6442,CLAYTON,33.59982,-84.42848,5/17/2024, 
1290408,Citgo Food Mart  ,Convenience Store,6009,Riverdale Rd, ,Atlanta,GA,30349,6205,CLAYTON,33.59144,-84.42819,8/8/2017,8/9/2022
1479565,Citgo Food Mart  ,Convenience Store,6009,Riverdale Rd,,Atlanta,GA,30349,6205,CLAYTON,33.59109,-84.42839,12/10/2021,7/23/2023
1512640,Exxon Food Mart  ,Convenience Store,5231,Highway 85,,Atlanta,GA,30349,5900,CLAYTON,33.61209,-84.40353,9/19/2022, 
818188,Family Dollar Store 2678,Combination Grocery/Other,5425,Riverdale Rd, ,Atlanta,GA,30349,6193,CLAYTON,33.60734,-84.43582,4/4/2007,8/24/2015
992558,Family Dollar Store 4220,Combination Grocery/Other,5638,Riverdale Rd, ,Atlanta,GA,30349,7315,CLAYTON,33.60076,-84.42763,2/22/2011, 
818188,Family Dollar Store 2678,Combination Grocery/Other,5425,Riverdale Rd, ,Atlanta,GA,30349,6193,CLAYTON,33.60734,-84.43582,2/2/2016, 
1135389,Fayetville Food Mart  ,Convenience Store,5181,W Fayetteville Rd,Unit A,Atlanta,GA,30349,5760,CLAYTON,33.61403,-84.44926,3/10/2014,2/20/2019
1135389,Fayetville Food Mart  ,Convenience Store,5181,W Fayetteville Rd,Unit A,Atlanta,GA,30349,5760,CLAYTON,33.61403,-84.44926,2/22/2021,4/17/2023
1135389,Fayetville Food Mart  ,Convenience Store,5181,W Fayetteville Rd,Unit A,Atlanta,GA,30349,5760,CLAYTON,33.61403,-84.44926,4/20/2023, 
1457006,Godby Food Mart  ,Convenience Store,1846,Godby Rd,,Atlanta,GA,30349,5236,CLAYTON,33.61312,-84.44965,7/26/2021,4/20/2022
1106211,Harbour Food Mart  ,Convenience Store,5436,Riverdale Rd,Ste N,Atlanta,GA,30349,6100,CLAYTON,33.60667,-84.43476,9/4/2013, 
1040535,Hwy 85 Exxon Food Mart  ,Convenience Store,5231,Highway 85, ,Atlanta,GA,30349,5900,CLAYTON,33.6119,-84.40296,1/25/2012,10/21/2014
1169590,Hwy 85 Exxon Food Mart  ,Convenience Store,5231,Highway 85, ,Atlanta,GA,30349,5900,CLAYTON,33.61191,-84.40292,12/3/2014,12/28/2016
1025095,"Inayat, Inc D/b/a Shell Food Mart  ",Convenience Store,5647,Riverdale Rd, ,Atlanta,GA,30349,6441,CLAYTON,33.60127,-84.4295,11/23/2011,5/9/2017
1447065,International Fresh Seafood  ,Seafood Specialty,5419,Riverdale Rd,,Atlanta,GA,30349,6193,CLAYTON,33.6075,-84.4359,4/21/2021, 
1242162,Kjp3 LLC  ,Convenience Store,1580,Flat Shoals Rd, ,Atlanta,GA,30349,6150,CLAYTON,33.59499,-84.4404,5/20/2016,9/3/2018
974390,Kom Pong Thom Market  ,Small Grocery Store,5298,Riverdale Rd, ,Atlanta,GA,30349,5712,CLAYTON,33.61087,-84.43605,11/10/2010, 
1053889,Kreative Kids Variety Store LLC  ,Small Grocery Store,5611,Riverdale Rd,Ste C,Atlanta,GA,30349,7381,CLAYTON,33.60204,-84.43027,7/13/2012,9/9/2013
1428425,Lee Market & Cafe  ,Small Grocery Store,5459,Riverdale Rd,,Atlanta,GA,30349,6193,CLAYTON,33.60655,-84.43565,11/24/2020, 
1270371,Lotus Inc  ,Convenience Store,5231,Highway 85,Ga,Atlanta,GA,30349,5900,CLAYTON,33.61191,-84.40292,1/18/2017,7/14/2022
1350615,M And F 2479 Llc  ,Convenience Store,2749,Flat Shoals Rd, ,Atlanta,GA,30349,4802,CLAYTON,33.58577,-84.48071,3/8/2019,11/20/2019
1164296,Mandy Market  ,Small Grocery Store,1846,Godby Rd, ,Atlanta,GA,30349,5236,CLAYTON,33.61342,-84.44991,10/8/2014,4/11/2019
